timeStamp,elapsed,label,threadName,success,URL,Latency,IdleTime,Connect
1557310998438,1093,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8000/add_ehr/FISCALCODE1-doctor1-provision_of_care,1092,0,17
1557310999554,1033,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8001/add_ehr/FISCALCODE2-doctor1-provision_of_care,1033,0,0
1557311000588,1032,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8002/add_ehr/FISCALCODE3-doctor1-provision_of_care,1032,0,1
1557311001621,1067,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8003/add_ehr/FISCALCODE4-doctor1-provision_of_care,1067,0,1
1557311002689,1038,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8004/add_ehr/FISCALCODE5-doctor1-provision_of_care,1038,0,1
1557311003728,1055,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8005/add_ehr/FISCALCODE6-doctor1-provision_of_care,1055,0,1
1557311004784,1008,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8006/add_ehr/FISCALCODE7-doctor1-provision_of_care,1008,0,1
1557311005793,1134,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8007/add_ehr/FISCALCODE8-doctor1-provision_of_care,1134,0,1
1557311006928,1070,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8008/add_ehr/FISCALCODE9-doctor1-provision_of_care,1070,0,0
1557311008000,1038,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8009/add_ehr/FISCALCODE10-doctor1-provision_of_care,1038,0,0
1557311009039,832,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8000/add_ehr/FISCALCODE11-doctor1-provision_of_care,832,0,1
1557311009872,805,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8001/add_ehr/FISCALCODE12-doctor1-provision_of_care,805,0,1
1557311010680,831,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8002/add_ehr/FISCALCODE13-doctor1-provision_of_care,831,0,0
1557311011512,788,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8003/add_ehr/FISCALCODE14-doctor1-provision_of_care,788,0,0
1557311012301,779,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8004/add_ehr/FISCALCODE15-doctor1-provision_of_care,779,0,1
1557311013081,789,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8005/add_ehr/FISCALCODE16-doctor1-provision_of_care,789,0,0
1557311013871,836,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8006/add_ehr/FISCALCODE17-doctor1-provision_of_care,836,0,1
1557311014708,841,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8007/add_ehr/FISCALCODE18-doctor1-provision_of_care,840,0,0
1557311015550,835,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8008/add_ehr/FISCALCODE19-doctor1-provision_of_care,835,0,1
1557311016386,756,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8009/add_ehr/FISCALCODE20-doctor1-provision_of_care,756,0,1
1557311017143,825,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8000/add_ehr/FISCALCODE21-doctor1-provision_of_care,825,0,0
1557311017969,783,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8001/add_ehr/FISCALCODE22-doctor1-provision_of_care,783,0,0
1557311018753,771,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8002/add_ehr/FISCALCODE23-doctor1-provision_of_care,771,0,1
1557311019525,739,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8003/add_ehr/FISCALCODE24-doctor1-provision_of_care,739,0,0
1557311020265,772,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8004/add_ehr/FISCALCODE25-doctor1-provision_of_care,772,0,0
1557311021038,845,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8005/add_ehr/FISCALCODE26-doctor1-provision_of_care,845,0,1
1557311021884,880,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8006/add_ehr/FISCALCODE27-doctor1-provision_of_care,880,0,0
1557311022765,818,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8007/add_ehr/FISCALCODE28-doctor1-provision_of_care,818,0,1
1557311023584,787,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8008/add_ehr/FISCALCODE29-doctor1-provision_of_care,787,0,1
1557311024372,781,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8009/add_ehr/FISCALCODE30-doctor1-provision_of_care,781,0,1
1557311025154,817,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8000/add_ehr/FISCALCODE31-doctor1-provision_of_care,817,0,0
1557311025972,769,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8001/add_ehr/FISCALCODE32-doctor1-provision_of_care,769,0,1
1557311026742,1136,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8002/add_ehr/FISCALCODE33-doctor1-provision_of_care,1136,0,0
1557311027879,788,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8003/add_ehr/FISCALCODE34-doctor1-provision_of_care,788,0,0
1557311028668,781,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8004/add_ehr/FISCALCODE35-doctor1-provision_of_care,781,0,1
1557311029450,841,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8005/add_ehr/FISCALCODE36-doctor1-provision_of_care,841,0,1
1557311030291,785,Add EHR,Add EHR 1-1,true,http://127.0.0.1:8006/add_ehr/FISCALCODE37-doctor1-provision_of_care,785,0,1
